page_id,title,attribute,html_offset/start/line_id,html_offset/start/offset,html_offset/end/line_id,html_offset/end/offset,html_offset/text,ENE,score
15700,岡山市,鉄道会社,2898,11,2898,13,中国,1.5.1.1,0.1663721799850464
15700,岡山市,鉄道会社,2898,11,2898,15,中国鉄道,1.5.1.1,0.5125156879425049
15700,岡山市,恒例行事,2859,136,2859,146,山陽女子ロードレース,1.5.1.1,0.34452257156372074
15700,岡山市,観光地,2812,110,2812,117,岡山県立美術館,1.5.1.1,0.45348587036132815
15700,岡山市,観光地,2813,106,2813,113,岡山県立博物館,1.5.1.1,0.4503795146942139
15700,岡山市,観光地,2814,156,2814,168,岡山市立オリエント美術館,1.5.1.1,0.5218565464019775
15700,岡山市,観光地,2815,86,2815,91,林原美術館,1.5.1.1,0.514702844619751
15700,岡山市,観光地,2816,106,2816,113,夢二郷土美術館,1.5.1.1,0.575197982788086
15700,岡山市,観光地,2817,5,2817,11,吉備路文学館,1.5.1.1,0.4450469493865967
15700,岡山市,観光地,2818,186,2818,199,岡山市デジタルミュージアム,1.5.1.1,0.4155898094177246
15700,岡山市,特産品,2769,84,2769,86,銘菓,1.5.1.1,0.5227007865905762
15700,岡山市,特産品,2770,80,2770,84,吉備団子,1.5.1.1,0.6740160942077638
15700,岡山市,特産品,2771,106,2771,113,大手まんぢゅう,1.5.1.1,0.6663450717926026
15700,岡山市,特産品,2772,96,2772,100,ばら寿司,1.5.1.1,0.700990104675293
15700,岡山市,特産品,2773,66,2773,75,サワラ</a>料理,1.5.1.1,0.47518291473388674
15700,岡山市,特産品,2774,66,2774,69,カツ丼,1.5.1.1,0.6004474639892579
15700,岡山市,特産品,2774,175,2774,180,デミカツ丼,1.5.1.1,0.4601791858673096
15700,岡山市,特産品,2775,76,2775,80,えびめし,1.5.1.1,0.6890509128570557
15700,岡山市,特産品,2776,96,2776,106,ママカリ</a>料理,1.5.1.1,0.5685694694519043
15700,岡山市,特産品,2776,107,2776,115,ママカリの酢漬け,1.5.1.1,0.3858608484268189
15700,岡山市,特産品,2776,116,2776,122,ママカリ寿司,1.5.1.1,0.3952050685882569
